date num.quakes
1995-01-24 0
1995-02-23 1
1995-03-25 1
1995-04-24 1
1995-05-24 0
1995-06-23 2
1995-07-23 0
1995-08-22 1
1995-09-21 0
1995-10-21 3
1995-11-20 0
1995-12-20 0
1996-01-19 1
1996-02-18 2
1996-03-19 2
1996-04-18 2
1996-05-18 1
1996-06-17 0
1996-07-17 1
1996-08-16 0
1996-09-15 0
1996-10-15 0
1996-11-14 1
1996-12-14 1
1997-01-13 0
1997-02-12 1
1997-03-14 1
1997-04-13 3
1997-05-13 1
1997-06-12 1
1997-07-12 1
1997-08-11 1
1997-09-10 1
1997-10-10 2
1997-11-09 4
1997-12-09 1
1998-01-08 2
1998-02-07 1
1998-03-09 1
1998-04-08 4
1998-05-08 2
1998-06-07 0
1998-07-07 0
1998-08-06 2
1998-09-05 1
1998-10-05 0
1998-11-04 0
1998-12-04 2
1999-01-03 2
1999-02-02 0
1999-03-04 1
1999-04-03 1
1999-05-03 2
1999-06-02 0
1999-07-02 0
1999-08-01 2
1999-08-31 0
1999-09-30 0
1999-10-30 0
1999-11-29 7
1999-12-29 0
2000-01-28 1
2000-02-27 1
2000-03-28 3
2000-04-27 1
2000-05-27 3
2000-06-26 2
2000-07-26 0
2000-08-25 0
2000-09-24 0
2000-10-24 0
2000-11-23 0
2000-12-23 1
2001-01-22 0
2001-02-21 1
2001-03-23 0
2001-04-22 0
2001-05-22 1
2001-06-21 0
2001-07-21 0
2001-08-20 0
2001-09-19 2
2001-10-19 0
2001-11-18 3
2001-12-18 1
2002-01-17 1
2002-02-16 1
2002-03-18 0
2002-04-17 1
2002-05-17 0
2002-06-16 0
2002-07-16 1
2002-08-15 0
2002-09-14 0
2002-10-14 0
2002-11-13 0
2002-12-13 3
2003-01-12 6
2003-02-11 5
2003-03-13 8
2003-04-12 4
2003-05-12 7
2003-06-11 0
2003-07-11 2
2003-08-10 0
2003-09-09 2
2003-10-09 3
2003-11-08 3
2003-12-08 2
2004-01-07 3
2004-02-06 0
2004-03-07 3
2004-04-06 1
2004-05-06 0
2004-06-05 1
2004-07-05 1
2004-08-04 1
2004-09-03 2
2004-10-03 1
2004-11-02 4
2004-12-02 1
2005-01-01 3
2005-01-31 7
2005-03-02 3
2005-04-01 5
2005-05-01 3
2005-05-31 1
2005-06-30 3
2005-07-30 1
2005-08-29 1
2005-09-28 2
2005-10-28 1
2005-11-27 0
2005-12-27 6
2006-01-26 4
2006-02-25 3
2006-03-27 9
2006-04-26 4
2006-05-26 7
2006-06-25 3
2006-07-25 3
2006-08-24 1
2006-09-23 3
2006-10-23 3
2006-11-22 0
2006-12-22 2
2007-01-21 7
2007-02-20 3
2007-03-22 3
2007-04-21 2
2007-05-21 3
2007-06-20 1
2007-07-20 1
2007-08-19 2
2007-09-18 2
2007-10-18 2
2007-11-17 0
2007-12-17 1
2008-01-16 2
2008-02-15 1
2008-03-16 5
2008-04-15 4
2008-05-15 5
2008-06-14 2
2008-07-14 1
2008-08-13 1
2008-09-12 3
2008-10-12 4
2008-11-11 1
2008-12-11 6
2009-01-10 6
2009-02-09 2
2009-03-11 2
2009-04-10 11
2009-05-10 3
2009-06-09 3
2009-07-09 1
2009-08-08 1
2009-09-07 2
2009-10-07 0
2009-11-06 4
2009-12-06 4
2010-01-05 2
2010-02-04 3
2010-03-06 2
2010-04-05 4
2010-05-05 6
2010-06-04 7
2010-07-04 1
2010-08-03 3
2010-09-02 1
2010-10-02 3
2010-11-01 2
2010-12-01 3
2010-12-31 6
2011-01-30 1
2011-03-01 6
2011-03-31 6
2011-04-30 17
2011-05-30 10
2011-06-29 5
2011-07-29 5
2011-08-28 8
2011-09-27 3
2011-10-27 6
2011-11-26 4
2011-12-26 6
2012-01-25 12
2012-02-24 7
2012-03-25 9
2012-04-24 8
2012-05-24 9
2012-06-23 8
2012-07-23 13
2012-08-22 2
2012-09-21 4
2012-10-21 7
2012-11-20 8
2012-12-20 10
2013-01-19 19
2013-02-18 7
2013-03-20 3
2013-04-19 11
2013-05-19 16
2013-06-18 9
2013-07-18 12
2013-08-17 5
2013-09-16 16
2013-10-16 5
2013-11-15 4
2013-12-15 7
2014-01-14 10
2014-02-13 9
2014-03-15 12
2014-04-14 6
2014-05-14 4
2014-06-13 7
2014-07-13 4
2014-08-12 6
2014-09-11 5
2014-10-11 2
2014-11-10 7
2014-12-10 5
2015-01-09 11
2015-02-08 10
2015-03-10 7
2015-04-09 6
2015-05-09 8
2015-06-08 13
2015-07-08 12
2015-08-07 15
2015-09-06 3
2015-10-06 12
2015-11-05 6
2015-12-05 6
2016-01-04 7
2016-02-03 13
2016-03-04 10
2016-04-03 7
2016-05-03 9
2016-06-02 7
2016-07-02 9
2016-08-01 11
2016-08-31 6
2016-09-30 7
2016-10-30 15
2016-11-29 12
2016-12-29 10
2017-01-28 15
2017-02-27 7
2017-03-29 10
2017-04-28 11
2017-05-28 6
2017-06-27 14
2017-07-27 9
2017-08-26 12
2017-09-25 6
2017-10-25 6
2017-11-24 15
2017-12-24 10
2018-01-23 11
2018-02-22 5
2018-03-24 13
2018-04-23 5
2018-05-23 3
2018-06-22 8
2018-07-22 8
2018-08-21 7
2018-09-20 6
2018-10-20 5
2018-11-19 8
2018-12-19 5
2019-01-18 6
2019-02-17 8
2019-03-19 7
2019-04-18 9
2019-05-18 14
2019-06-17 10
2019-07-17 9
2019-08-16 5
2019-09-15 4
2019-10-15 6
2019-11-14 6
2019-12-14 4
2020-01-13 3
2020-02-12 3
2020-03-13 9
2020-04-12 12
2020-05-12 5
2020-06-11 7
2020-07-11 6
2020-08-10 4
2020-09-09 3
2020-10-09 4
2020-11-08 3
2020-12-08 6
2021-01-07 5
2021-02-06 1
2021-03-08 3
2021-04-07 3
2021-05-07 5
2021-06-06 5
2021-07-06 4
2021-08-05 4
2021-09-04 8
2021-10-04 8
2021-11-03 20
2021-12-03 7
2022-01-02 2
2022-02-01 2
2022-03-03 3
2022-04-02 4
2022-05-02 3
2022-06-01 4
2022-07-01 4
2022-07-31 3
2022-08-30 7
2022-09-29 8
2022-10-29 1
2022-11-28 8
2022-12-28 3
2023-01-27 5
2023-02-26 4
2023-03-28 7
2023-04-27 4
2023-05-27 3
2023-06-26 2
2023-07-26 3
2023-08-25 3
2023-09-24 3
2023-10-24 3
2023-11-23 4
2023-12-23 1
2024-01-22 4
2024-02-21 5
2024-03-22 5
