year anomaly
1 1850 -0.42
2 1851 -0.23
3 1852 -0.23
4 1853 -0.27
5 1854 -0.29
6 1855 -0.3
7 1856 -0.32
8 1857 -0.47
9 1858 -0.39
10 1859 -0.28
11 1860 -0.39
12 1861 -0.43
13 1862 -0.54
14 1863 -0.34
15 1864 -0.47
16 1865 -0.33
17 1866 -0.34
18 1867 -0.36
19 1868 -0.35
20 1869 -0.32
21 1870 -0.33
22 1871 -0.37
23 1872 -0.33
24 1873 -0.34
25 1874 -0.37
26 1875 -0.38
27 1876 -0.42
28 1877 -0.1
29 1878 -0.01
30 1879 -0.3
31 1880 -0.32
32 1881 -0.23
33 1882 -0.3
34 1883 -0.35
35 1884 -0.49
36 1885 -0.47
37 1886 -0.42
38 1887 -0.5
39 1888 -0.38
40 1889 -0.25
41 1890 -0.51
42 1891 -0.4
43 1892 -0.51
44 1893 -0.49
45 1894 -0.48
46 1895 -0.45
47 1896 -0.28
48 1897 -0.26
49 1898 -0.49
50 1899 -0.36
51 1900 -0.23
52 1901 -0.29
53 1902 -0.44
54 1903 -0.53
55 1904 -0.6
56 1905 -0.41
57 1906 -0.32
58 1907 -0.5
59 1908 -0.51
60 1909 -0.54
61 1910 -0.53
62 1911 -0.54
63 1912 -0.48
64 1913 -0.47
65 1914 -0.26
66 1915 -0.19
67 1916 -0.42
68 1917 -0.54
69 1918 -0.42
70 1919 -0.33
71 1920 -0.3
72 1921 -0.24
73 1922 -0.34
74 1923 -0.32
75 1924 -0.31
76 1925 -0.28
77 1926 -0.12
78 1927 -0.23
79 1928 -0.21
80 1929 -0.39
81 1930 -0.18
82 1931 -0.1
83 1932 -0.15
84 1933 -0.32
85 1934 -0.17
86 1935 -0.21
87 1936 -0.17
88 1937 -0.02
89 1938 -0.01
90 1939 -0.04
91 1940 0.08
92 1941 0.04
93 1942 0
94 1943 0.01
95 1944 0.14
96 1945 0.04
97 1946 -0.12
98 1947 -0.09
99 1948 -0.12
100 1949 -0.14
101 1950 -0.23
102 1951 -0.06
103 1952 0.02
104 1953 0.08
105 1954 -0.12
106 1955 -0.2
107 1956 -0.26
108 1957 -0.04
109 1958 -0.02
110 1959 -0.05
111 1960 -0.12
112 1961 -0.02
113 1962 -0.06
114 1963 -0.04
115 1964 -0.31
116 1965 -0.2
117 1966 -0.15
118 1967 -0.12
119 1968 -0.17
120 1969 -0.03
121 1970 -0.09
122 1971 -0.21
123 1972 -0.09
124 1973 0.05
125 1974 -0.17
126 1975 -0.11
127 1976 -0.22
128 1977 0.1
129 1978 0.01
130 1979 0.09
131 1980 0.2
132 1981 0.25
133 1982 0.03
134 1983 0.22
135 1984 0.05
136 1985 0.05
137 1986 0.1
138 1987 0.24
139 1988 0.28
140 1989 0.18
141 1990 0.36
142 1991 0.34
143 1992 0.12
144 1993 0.17
145 1994 0.23
146 1995 0.38
147 1996 0.28
148 1997 0.42
149 1998 0.58
150 1999 0.32
151 2000 0.33
152 2001 0.49
153 2002 0.54
154 2003 0.54
155 2004 0.47
156 2005 0.61
157 2006 0.57
158 2007 0.59
159 2008 0.47
160 2009 0.6
161 2010 0.68
162 2011 0.54
163 2012 0.58
164 2013 0.62
165 2014 0.67
166 2015 0.83
167 2016 0.93
168 2017 0.85
169 2018 0.76
170 2019 0.89
171 2020 0.92
172 2021 0.76
173 2022 0.8
174 2023 1.1
